nonCS.101	Journal of Formalized Reasoning
nonCS.101	J FORMALIZED REASON
nonCS.102	Journal of Functional Programming
nonCS.102	J FUNC PROG
nonCS.103	Journal of Global Information Management
nonCS.103	J GLOB INFORM MANAGE
nonCS.104	Journal of Graph Algorithms and Applications
nonCS.104	J GRAPH ALGOR APPL
nonCS.105	Journal of Graphics Tools
nonCS.105	J GRAPH TOOL
nonCS.106	Journal of Grid Computing
nonCS.106	J GRID COMPUT
nonCS.107	Journal of Information Technology & Politics
nonCS.107	J INFORM TECHNOL POLIT
nonCS.108	Journal of Interconnection Networks
nonCS.108	J INTERCONNECTION NETW
nonCS.109	Journal of Logic and Computation
nonCS.109	J LOGIC PROGRAM
nonCS.110	Journal of Logical and Algebraic Methods in Programming
nonCS.110	J LOGIC ALGEBR METH PROG
nonCS.111	Journal of Multimedia
nonCS.111	J MULTIMEDIA
nonCS.112	Journal of Organizational and End User Computing
nonCS.112	J ORGAN USER COMPUT
nonCS.113	Journal of Software: Evolution and Process
nonCS.113	J SOFTW EVOL PROC
nonCS.114	Journal of Strategic Information Systems
nonCS.114	J STRATEGIC STUD
nonCS.115	Journal of Systems and Software
nonCS.115	J SYST ARCHITECT
nonCS.116	Journal of the ACM
nonCS.116	J ACOUST SOC AM
nonCS.117	Journal of the Brazilian Computer Society
nonCS.117	J BRAZ COMPUT SOC
nonCS.118	Journal of Web Semantics
nonCS.118	J SEMANTIC
nonCS.119	Kybernetes
nonCS.120	Logical Methods in Computer Science
nonCS.120	LOGIC METH COMPUT SCI
nonCS.121	Mathematics and Computer Education
nonCS.121	MATH COMPUT EDUC
nonCS.122	Minds and Machines
nonCS.122	MIND MACH
nonCS.123	Mobile Computing and Communications Review
nonCS.123	MOB COMPUT COMMUN REV
nonCS.124	Molecular Informatics
nonCS.124	MOL INFORM
nonCS.125	Neurocomputing
nonCS.126	Parallel Processing Letters
nonCS.126	PARALL PROC LETT
nonCS.127	Personal and Ubiquitous Computing
nonCS.127	PERS UBIQUITOUS COMPUT
nonCS.128	Presence: Teleoperators & Virtual Environments
nonCS.128	PRESENCE TELEOPERATORS VIRT ENVIRON
nonCS.129	Probability in the Engineering and Informational Sciences
nonCS.129	PROBAB ENG INFORM SC
nonCS.130	Program: Electronic Library and Information Systems
nonCS.130	PROG ELECTRON LIBR INFORM SYS
nonCS.131	ReCALL
nonCS.132	Science Software Quarterly
nonCS.132	SCI SOFTW QUART
nonCS.133	Scientific Computing & Instrumentation
nonCS.133	SCI COMPUT INSTRUM
nonCS.134	Simulation & Gaming
nonCS.134	SIMUL GAME
nonCS.135	Software and Systems Modeling
nonCS.135	SOFTW SYS MODEL
nonCS.136	Software Testing, Verification & Reliability
nonCS.136	SOFTW TEST VERIF RELIAB
nonCS.137	The Imaging Science Journal
nonCS.137	IMAG SCI J
nonCS.138	The Journal of Object Technology
nonCS.138	J OBJ TECHNOL
nonCS.139	The Journal of Supercomputing
nonCS.139	J SUPERCOMPUT
nonCS.140	Theoretical Computer Science
nonCS.140	THEOR COMPUT SCI
nonCS.141	Theoretical Issues in Ergonomics Science
nonCS.141	THEOR ISSUE ERGON SCI
nonCS.142	Transactions on Aspect Oriented Software Development
nonCS.142	TRANS ASPECT ORIENT SOFTW DEV
nonE..001	Affilia
nonE..002	African Journal of Economic Policy
nonE..002	AFR J ECON POL
nonE..003	American Economic Journal
nonE..003	AM ECON J
nonE..004	American Economic Review
nonE..004	AM ECON REV
nonE..005	American Journal of Agricultural Economics
nonE..005	AM J AGR ECON
nonE..006	Annual Review of Economics
nonE..006	ANNU REV ECON
nonE..007	Applied Econometrics and International Development
nonE..007	APPL ECONOM INT DEV
nonE..008	Applied Economic Perspectives and Policy
nonE..008	APPL ECON PERSPEC POL
nonE..009	Asian Economic Papers
nonE..009	ASIAN ECON PAP
nonE..010	Brookings Papers on Economic Activity
nonE..010	BROOKINGS PAP ECO AC
nonE..011	Business Economics
nonE..011	BUS ECON
nonE..012	Cambridge Journal of Economics
nonE..012	CAMBRIDGE J ECON
nonE..013	Canadian Journal of Economics
nonE..013	CAN J ECON
nonE..014	Carnegie-Rochester Conference Series on Public Policy
nonE..014	CARNEGIE ROCHESTER CONF SER PUBL POL
nonE..015	Computational Economics
nonE..015	COMPUT ECON
nonE..016	Contemporary Economic Policy
nonE..016	CONTEMP ECON POLICY
nonE..017	D+C Development and Cooperation
nonE..017	DEV COOP
nonE..018	De Economist
nonE..018	ECONOMIST
nonE..019	Eastern Economic Journal
nonE..019	EAST ECON J
nonE..020	Econ Journal Watch
nonE..020	ECON J WATCH
nonE..021	Econometric Theory
nonE..021	ECONOMET THEOR
nonE..022	Econometrica
nonE..023	Econometrics Journal
nonE..023	ECONOM J
nonE..024	Economic and Industrial Democracy
nonE..024	ECON IND DEMOCRACY
nonE..025	Economic Development and Cultural Change
nonE..025	ECON DEV CULT CHANGE
nonE..026	Economic Geography
nonE..026	ECON GEOGR
nonE..027	Economic History Review
nonE..027	ECON HIST REV
nonE..028	Economic Inquiry
nonE..028	ECON INQ
nonE..029	Economic Policy
nonE..029	ECON POLICY
nonE..030	Economics and Human Biology
nonE..030	ECON HUM BIOL
nonE..031	Economics Bulletin
nonE..031	ECON BULL
nonE..032	Economics Letters
nonE..032	ECON LETT
nonE..033	Economics of Governance
nonE..033	ECON GOV
nonE..034	Education Finance and Policy
nonE..034	EDUC FINANC POL
nonE..035	Essays in Economic & Business History
nonE..035	ESSAY ECON BUS HIST
nonE..036	European Economic Review
nonE..036	EUR ECON REV
nonE..037	European Journal of Health Economics
nonE..037	EUR J HEALTH ECON
nonE..038	European Journal of Political Economy
nonE..038	EUR J POLIT ECON
nonE..039	Explorations in Economic History
nonE..039	EXPLOR ECON HIST
nonE..040	Feminist Economics
nonE..040	FEM ECON
nonE..041	Fiscal Studies
nonE..041	FISCAL STUD
nonE..042	Games and Economic Behavior
nonE..042	GAME ECON BEHAV
nonE..043	German Economic Review
nonE..043	GER ECON REV
nonE..044	Health Economics
nonE..044	HEALTH ECON
nonE..045	Industrial and Labor Relations Review
nonE..045	IND LABOR RELAT REV
nonE..046	Intereconomics
nonE..047	International Economic Review
nonE..047	INT ECON REV
nonE..048	International Journal of Central Banking
nonE..048	INT J CENT BANK
nonE..049	International Productivity Monitor
nonE..049	INT PROD MONIT
nonE..050	International Review of Economics & Finance
nonE..050	INT REV ECON FINANC
nonE..051	Investment Analysts Journal
nonE..051	INVEST ANLST J
nonE..052	Japanese Economic Review
nonE..052	JPN ECON REV
nonE..053	Journal of Applied Econometrics
nonE..053	J APPL ECONOM
nonE..054	Journal of Banking and Finance
nonE..054	J BANK FINANC
nonE..055	Journal of Behavioral Finance
nonE..055	J BEHAV FINANC
nonE..056	Journal of Business and Economic Statistics
nonE..056	J BUS ECON STAT
nonE..057	Journal of Common Market Studies
nonE..057	J COMMON MARK STUD
nonE..058	Journal of Comparative Economics
nonE..058	J COMP ECON
nonE..059	Journal of Competition Law and Economics
nonE..059	J COMPET ECON
nonE..060	Journal of Development Economics
nonE..060	J DEV ECON
nonE..061	Journal of Econometrics
nonE..061	J ECONOMETRICS
nonE..062	Journal of Economic Behavior and Organization
nonE..062	J ECON BEHAV ORGAN
nonE..063	Journal of Economic Dynamics and Control
nonE..063	J ECON DYNAM CONTR
nonE..064	Journal of Economic Education
nonE..064	J ECON EDUC
nonE..065	Journal of Economic History
nonE..065	J ECON HIST
nonE..066	Journal of Economic Issues
nonE..066	J ECON ISSUES
nonE..067	Journal of Economic Literature
nonE..067	J ECON LIT
nonE..068	Journal of Economic Perspectives
nonE..068	J ECON PERSPECT
nonE..069	Journal of Economic Theory
nonE..069	J ECON THEORY
nonE..070	Journal of Economics & Management Strategy
nonE..070	J ECON MANAGE STRAT
nonE..071	Journal of Finance
nonE..071	J FINANC
nonE..072	Journal of Financial and Quantitative Analysis
nonE..072	J FINANC QUANT ANAL
nonE..073	Journal of Financial Economics
nonE..073	J FINANC ECON
nonE..074	Journal of Health Economics
nonE..074	J HEALTH ECON
nonE..075	Journal of Human Capital
nonE..075	J HUM CAP
nonE..076	Journal of International Economics
nonE..076	J INT ECON
nonE..077	Journal of International Money and Finance
nonE..077	J INT MONEY FINANC
nonE..078	Journal of Labor Economics
